Resection: Stomach	7308	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Respiratory adenocarcinoma	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Retina: Detachment of	6008	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retina: Hemorrhage of	6007	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retina: Localized scars, atrophy, or irregularities of	6011	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retinal Dystrophy	6042	OPTO Eye	EYES	Organs of Sense (Eye Examination)
Retinitis	6006	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retinitis pigmentosa	6099-6006	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retinopathy, central	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retinopathy, central	6099-6006	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Retinopathy, diabetic	6040	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Rheumatic fever	6309	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Rheumatic heart disease	7000	CARDIO Heart	Heart	Cardiovascular System (Heart)
Rheumatoid arthritis (atrophic)	5002	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)/AUTO-IMM Systemic lupus erythematosus	Arth/SLE	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Rhinitis: Allergic	6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Rhinitis: Bacterial	6523	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Rhinitis: Granulomatous	6524	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Rhinitis: Vasomotor	6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Rhinosinusitis, allergic	6599-6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Rhynophyma	7800-7828	DERM Skin	Skin	Skin (Skin Disease)
Ribs, removal of	5297	No DBQ available, use Legacy Examination Worksheet	N/A	Musculoskeletal (Bone Disease/Fractures)
Ribs, resection of	5297	No DBQ available, use Legacy Examination Worksheet	N/A	Musculoskeletal (Bone Disease/Fractures)
Rotator cuff tear	5299-5201	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Ruptured bladder	7599-7517	GU Urinary tract (bladder & urethra)	Ur tract	Special Examinations (Genitourinary)
Ruptured diaphragm	5324	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Sacral decubitus ulcer	7801/7804/7820	DERM Skin	Skin	Skin (Skin Disease)
Sacroiliac injury or weakness	5236	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Saddle nose deformity	6599-6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Salpingitis	7614	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Salpingo-oophorectomy	7619	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Sand fly bites (visceral leishmaniasis)	6301	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Sarcoidosis	6846	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Sarcoma: Alveolar soft part	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)*
Sarcoma: Kaposi's	7799-7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)*
Sarcoma: Soft tissue, neurogenic origin	8540	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)*
Sarcoma: Soft tissue, vascular origin	7123	CARDIO Heart	Heart	Cardiovascular System (Arteries, Veins and Misc.)*
Scabies	7899	DERM Skin	Skin	Skin (Skin Disease)
Scalenus anticus syndrome (also known as anterior scalene muscle)	5322 or 8610	MUSC Muscle injuries	Muscle	Neurologic (Peripheral Nerves)
Scapula or clavicle, impairment of	5203	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Scapulohumeral articulation, ankylosis of	5200	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Scar or Scars: Appendectomy	7805	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Disfiguring, head, face or neck	7800	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Eardrum	6299-6211	DERM Scars	Scar	Organs of Sense (Ear Disease)
Scar or Scars: Head, etc., disfiguring	7800	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Herniorrhaphy	7338	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Others	7805	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Retina	6011	DERM Scars	Scar	Organs of Sense (Eye Examination)
Scar or Scars: Superficial, tender	7804	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Superficial, with ulceration	7804	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Varcose veins	7120	DERM Scars	Scar	Skin (Scars)
Scar or Scars: Varicocelectomy	7599-7805	DERM Scars	Scar	Skin (Scars)
Scarring alopecia (alopecia cicatrisata)	7830	DERM Skin	Skin	Skin (Scars)
Scheuermann's disease	5299-5237	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Bone Disease/Fractures)
Schistosomiasis	7399-7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Schizoaffective disorder	9211	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Schizophrenia: Catatonic type	9202	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Schizophrenia: Disorganized type	9201	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Schizophrenia: Paranoid type	9203	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Schizophrenia: Residual type; other	9205	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Schizophrenia: Undifferentiated type	9204	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Sciatic neuritis	8620	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Sciatica	8520	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Scleritis	6002	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Scleroderma	6399-6350	AUTO IMM Systemic lupus erythematosus	SLE	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Sclerosis: Amyotrophic lateral	8017	NEURO Amyotrophic lateral sclerosis	ALS	Neurologic (Brain and Spinal Cord)
Sclerosis: Primary lateral	8099-8017	NEURO Central nervous system/ALS	CNS/ALS	Neurologic (Brain and Spinal Cord)
Scoliosis, dorsal	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Scotoma, pathological	6081	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Scrotal hernia	7338	GEN SURG Hernia: inguinal, femoral & abdom (not hiatal)	Hernia	Digestive (Digestive Conditions, Misc.)
Seasickness	6299-6204	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Sebaceous cyst	7819	DERM Skin	Skin	Skin (Skin Disease)
Seborrheic dermatitis	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Seizures: Grand mal	8999-8910	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Seizures: Petit mal	8999-8911	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Semilunar cartilage, dislocated	5258	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Semilunar cartilage, removal of	5859	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Septum, deviated	6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Septum, nasal, deviation of	6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Serum hepatitis	7345	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Shell fragment wound (depending on depth)	7801/5399 varies	DERM Scars/MUSC Muscle injuries	Scar/Muscle	Skin (scars)
Shin splints	5022	MUSC Knee & lower leg	Knee	Musculoskeletal (Muscles)
Shingles	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Shortening, leg	5275	MUSC Hip & thigh	Hip	Musculoskeletal (Bone Disease/Fractures)
Shortness of breath	6699	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Shoulder injury	5299-5202/3	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Shoulder replacement	5051	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Shrapnel injury (depending on depth)	7801/5399 varies	DERM Scars/MUSC Muscle injuries	Scar/Muscle	Musculoskeletal (Muscles)
Sickle cell anemia	7714	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Sickle cell trait (please see note under d.c. 7714 as to whether this is a ratable disability)	7799-7714	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Silicosis	6832	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Sinus bradycardia	7099	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Sinus tachycardia	7099-7010	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Sinusitis: Allergic	6599-6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Sinusitis: Antral	6513	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Sinusitis: Ethmoid	6511	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Sinusitis: Frontal	6512	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Sinusitis: Maxillary	6513	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Sinusitis: Pansinusitis	6510	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Sinusitis: Sphenoid	6514	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Situational reaction, adult	9410	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Skin disease	7899	DERM Skin	Skin	Skin (Skin Disease)
Skin tags	7899-7819	DERM Skin	Skin	Skin (Skin Disease)
Sleep Apnea Syndromes (Obstructive, Central, Mixed)	6847	RESP Sleep apnea	Sleep Ap	Respiratory (Respiratory Diseases)
Sleep disturbance (sleeplessness, insomnia)	9499	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Smell, loss of sense of, complete	6275	ENT Loss of sense of smell & taste	Smell	Organs of Sense (Sense of Smell and Taste)
Social phobia	9403	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Soft part sarcoma, alveolar	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)*
Soft tissue sarcoma: Kaposi's	7799-7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)*
Soft tissue sarcoma: Neurogenic origin	8540	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)*
Soft tissue sarcoma: Vascular origin	7123	CARDIO Heart	Heart	Cardiovascular System (Arteries, Veins and Misc.)*
Solitary Plasmacytoma	7724	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Somatization disorder	9421	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Somatoform disorders (see Mental disorders)	9421 to 9425	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Somnambulism	8199-8108	NEURO Narcolepsy	Narco	Neurologic (Neurological Disorders, Misc.)
Tabes dorsalis	8015	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Tachycardia: Atrial	7011	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Tachycardia: Paroxysmal	7013	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Tachycardia: Sinus	7014	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Tachycardia: With hypertension	7010 or 7011	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Talipes valgus (clubfoot)	5299-5278/84	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Tapeworm	6320	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Tardive diskinesia	8099-8103	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Tarsal or metatarsal bones, malunion of	5283	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Taste, loss of sense of, complete	6276	ENT Loss of sense of smell & taste	Smell	Organs of Sense (Sense of Smell and Taste)
Teeth, loss of, due to loss of substance of body of maxilla or mandible without loss of continuity	9913	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Telangiectasis	7199-7120	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Temporomandibular articulation, limited motion of	9905	MUSC Temporomandibular joint	TMJ	Special Examinations (Dental and Oral Examination)
Temporomandibular joint dislocation	9905	MUSC Temporomandibular joint	TMJ	Special Examinations (Dental and Oral Examination)
Tendonitis (or, Tendinitis)	5099-5024	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Tenosynovitis	5024	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Teratoma, malignant	7528	GU Male reproductive system	Male	Specialist Exams (GU-Urology)--BACK of worksheet*
Testis (Testicle): Absence of	7524	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Testis (Testicle): Atrophy	7523	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Testis (Testicle): Removal	7524	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Testis (Testicle): Undescended	7599-7523	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Thalassemia	7799-7723	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Thigh, impairment of	5253	MUSC Hip & thigh	Hip	Musculoskeletal (Bone Disease/Fractures)
Thigh, limitation of extension of	5251	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Thigh, limitation of flexion of	5252	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Throat condition	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Thrombo-angitis obliterans	7115	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Thrombocytopenia	7705	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Thrombophlebitis	7121	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Thrombosis, brain	8008	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Thrombosis, brain, internal carotid artery	8008	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Thyroid gland: Adenoma, non-toxic	7902	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Thyroid gland: Adenoma, toxic	7901	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Thyroid gland: Carcinoma	7914	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)*
Thyroid gland: Enlarged	7999-7900	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Thyroiditis	7906	ENDO Thyroid & Parathyroid	THYROID	Endocrine (Thyroid and Parathyroid Diseases)
Thyrotoxicosis	7999-7900	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Tic douloureux	8205	NEURO Cranial nerves	C Nerves	Neurologic (Neurological Disorders, Misc.)
Tic, convulsive	8103	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Tinea: Barbae	7813	DERM Skin	Skin	Skin (Skin Disease)
Tinea: Cruris	7813	DERM Skin	Skin	Skin (Skin Disease)
Tinea: Pedis	7813	DERM Skin	Skin	Skin (Skin Disease)
Tinea: Versicolor	7813	DERM Skin	Skin	Skin (Skin Disease)
Tinnitus	6260	AUDIO Hearing loss & tinnitus	Audio	Organs of Sense (Audio)
Toes, fracture of	5283	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Tongue, loss of whole or part	7202	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Tonsillectomy	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Tonsils: Abcessed	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Tonsils: Atrophic	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Tonsils: Enucleated	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Tonsils: Hypertrophic	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Torticollis,cervical	8099-8211	NEURO Cranial nerves/MUSC Neck (cervical spine)	C Nerves/Neck	Neurologic (Cranial Nerves)
Toxic thyroid adenoma	7901	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Toxoplasmosis	8099-8019	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Tracheotomy	6599-6520	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Transplant, cardiac	7019	CARDIO Heart	Heart	Cardiovascular System (Heart)
Transplant, heart	7019	CARDIO Heart	Heart	Cardiovascular System (Heart)
Transplant, kidney	7531	GU Kidney (nephrology	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Transurethral resection	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Trauma, brain	8045	NEURO Central nervous system/TBI Initial/Review	CNS/TBI-I/TBI-R	Neurologic (Brain and Spinal Cord)
Traumatic arthritis	5010	MUSC use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Traumatic chest wall defect, pneumothorax, hernia, etc	6843	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Traumatic encephalopathy	8045	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Trench foot	7122	Cold injury residuals	Cold Inj	Special Examinations (Cold Injury Protocol Examination)
Treponemal infections	6310	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
